********LEGEND FOR FIELD NAMES LOCATED AT BOTTOM OF FILE************
Station_Code,isSWMP,m/d/y hh:mm,See Legend,See Legend,See Legend, C,Flag Code See Legend,mS/cm,Flag Code See Legend,psu,Flag Code See Legend,%,Flag Code See Legend,mg/L,Flag Code See Legend,m,Flag Code,m,Flag Code See Legend,m,Flag Code See Legend,m,Flag Code See Legend,Units,Flag Code See Legend,FNU/NTU,Flag Code See Legend
"Station_Code","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_pct","F_DO_pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb",
elksmwq,P,10/28/2015 00:00,0,0,,17.8,<0> ,,<-5> ,32.6,<0> ,7.4,<0> ,,<-5> ,,<-1> ,,,2.33,<0> ,2.32,<3> ,7.9,<0> ,9,<0> ,
elksmwq,P,10/28/2015 00:15,0,0,,17.9,<0> ,,<-5> ,32.8,<0> ,7.4,<0> ,,<-5> ,,<-1> ,,,2.29,<0> ,2.27,<3> ,7.9,<0> ,9,<0> ,
elksmwq,P,10/28/2015 00:30,0,0,,17.9,<0> ,,<-5> ,32.8,<0> ,7.5,<0> ,,<-5> ,,<-1> ,,,2.25,<0> ,2.23,<3> ,7.9,<0> ,4,<0> ,
elksmwq,P,10/28/2015 00:45,0,0,,17.8,<0> ,,<-5> ,32.8,<0> ,7.5,<0> ,,<-5> ,,<-1> ,,,2.20,<0> ,2.18,<3> ,8.0,<0> ,14,<0> ,
elksmwq,P,10/28/2015 01:00,0,0,,17.9,<0> ,,<-5> ,32.8,<0> ,7.5,<0> ,,<-5> ,,<-1> ,,,2.15,<0> ,2.13,<3> ,8.0,<0> ,10,<0> ,
elksmwq,P,10/28/2015 01:15,0,0,,18.0,<0> ,,<-5> ,32.8,<0> ,7.3,<0> ,,<-5> ,,<-1> ,,,2.10,<0> ,2.08,<3> ,7.9,<0> ,5,<0> ,
elksmwq,P,10/28/2015 02:30,0,0,,18.1,<0> ,,<-5> ,32.9,<0> ,7.0,<0> ,,<-5> ,,<-1> ,,,1.79,<0> ,1.77,<3> ,7.9,<0> ,5,<0> ,
elksmwq,P,10/28/2015 02:45,0,0,,18.2,<0> ,,<-5> ,32.9,<0> ,7.0,<0> ,,<-5> ,,<-1> ,,,1.72,<0> ,1.70,<3> ,7.9,<0> ,9,<0> ,
elksmwq,P,10/28/2015 03:00,0,0,,18.2,<0> ,,<-5> ,32.9,<0> ,6.9,<0> ,,<-5> ,,<-1> ,,,1.65,<0> ,1.63,<3> ,7.9,<0> ,9,<0> ,
elksmwq,P,10/28/2015 03:15,0,0,,18.1,<0> ,,<-5> ,32.9,<0> ,6.9,<0> ,,<-5> ,,<-1> ,,,1.58,<0> ,1.56,<3> ,7.9,<0> ,11,<0> ,
elksmwq,P,10/28/2015 03:30,0,0,,18.1,<0> ,,<-5> ,32.9,<0> ,6.8,<0> ,,<-5> ,,<-1> ,,,1.52,<0> ,1.50,<3> ,7.9,<0> ,11,<0> ,
